feature,mean_abs_shap
num__yardline_100,0.23510469657531016
cat__align_9,0.09443494599128
num__depth,0.08800425072431405
cat__align_8,0.017702763574707223
cat__route_7,0.01351432079016675
cat__align_7,0.00723230218686444
cat__route_xo,0.004286608329162008
num__week,0.004223037977555069
cat__READ_SD,0.0038007972319141414
cat__route_9,0.0037710781745198345
num__distance,0.003684138034796846
cat__route_8,0.003352752725103795
num__is_slot,0.003238818765639627
num__down,0.0029552781730805126
num__quarter,0.002621971806758369
cat__COV_SCHEME_3,0.0024205895453797903
cat__route_9b,0.0023630952889294263
cat__route_2,0.0017856468302990677
cat__side_L,0.001727081500336604
cat__form_align_EMPTY,0.001593887258365477
num__BOX_CT,0.0015866929294007439
num__DB_CT,0.0014993188936733542
cat__form_2X2,0.0013868681154573226
cat__personnel_12.0,0.001317440045869365
cat__align_0,0.0013107975854622052
num__bd_motion,0.0012753750535679203
cat__hash_L,0.001269438425593447
cat__align_6,0.0012090581909079536
cat__qb_pos_U,0.0011618753286312914
cat__first_read_flag_0,0.001093441893286606
cat__READ_1,0.0010851645150811687
cat__hash_R,0.0010668822587125292
cat__side_R,0.0010653408718485087
cat__COV_SCHEME_1,0.0009439548210376635
cat__COV_SCHEME_2,0.0009201948586959814
cat__personnel_11.0,0.0008404092528314425
cat__align_2,0.000840129914798854
cat__READ_DES,0.0007776858312034344
cat__form_1X3,0.0007480729411808042
cat__offense_SEA,0.000728578480849325
cat__IS_ZONE_0,0.0006365754157909081
cat__skp_pos_WR-R#,0.0006170102949793041
cat__offense_BLT,0.0006153148776390578
cat__qb_pos_S,0.0005853095667259102
cat__COV_SCHEME_RZ,0.0005795665782873279
cat__skp_pos_WR-L^,0.0005170529103354597
cat__align_3,0.000491324848962237
cat__route_9s,0.00048577724990575837
cat__route_6,0.00047452867889635845
cat__defense_PHI,0.00045001572345177175
cat__skp_pos_HB-R,0.0004479704314931286
cat__COV_SCHEME_3S,0.0004249162290998856
cat__route_9y,0.00041482345417759986
cat__side_M,0.0004032242360720307
cat__skp_pos_SLT-R^,0.0003855904558386006
cat__offense_KC,0.00038425132920665646
cat__form_align_TWINS-L,0.00037152677945302427
cat__offense_CHI,0.0003514514898368199
cat__form_align_TWINS,0.0003408472148212281
cat__COV_SCHEME_6L,0.00033880618066193987
cat__skp_pos_WR-L^#,0.0003380226644023155
cat__personnel_13.0,0.00032006736331898297
cat__IS_MAN_0,0.0003062061697923558
cat__skp_pos_WR-L#,0.0002763628539424232
cat__form_3X1,0.0002624349501372587
cat__design_read_flag_0,0.00025306043928206737
cat__defense_DET,0.00025024693929497397
cat__personnel_21.0,0.0002391924361932059
cat__defense_CHI,0.00023709521216997638
cat__defense_HST,0.00023216659747366788
cat__form_align_BUNCH-R,0.0002179629880676213
cat__route_36,0.00019371175694685218
cat__align_h0/h1,0.00017792785997071596
cat__offense_ARZ,0.00017360979727438114
cat__offense_PHI,0.0001678420651719633
cat__offense_LAC,0.00015599366344568337
cat__COV_SCHEME_6R,0.00015524195393636734
cat__align_h6/h7,0.0001544328113991163
cat__form_align_TWINS-R,0.00015321496477113016
cat__IS_ZONE_1,0.00014232167125367308
cat__IS_MAN_1,0.0001186939123740784
cat__defense_MIN,0.00011796761894843067
cat__offense_MIA,0.00011603997131583155
cat__route_4,0.00011094001061991152
cat__offense_NYJ,0.00010538169060713655
cat__defense_MIA,0.00010012961057787162
cat__COV_SCHEME_0,9.817168859997064e-05
cat__align_4,9.244663150162957e-05
cat__route_3,8.930307980597783e-05
cat__defense_NO,8.864675473542003e-05
cat__defense_ARZ,8.765861038967028e-05
cat__form_2X3,8.422410423292874e-05
cat__COV_SCHEME_4,8.170139992262981e-05
