Season,pos_group,tier_p90,tier_p70,tier_p50,tier_p30
2022,WR,0.411335771,0.354632095,0.321793878,0.278400126
2022,TE,0.281862001,0.235998023,0.207642964,0.172847913
2022,Backfield,0.09915366,0.074516262,0.050900268,0.033093848
2023,TE,0.221386751,0.177276951,0.149259389,0.128741223
2023,WR,0.362159504,0.307911814,0.260918059,0.22839534
2023,Backfield,0.072516358,0.053208488,0.038371881,0.020854088
2024,WR,0.307713662,0.250494658,0.225259111,0.185511394
2024,Backfield,0.069438948,0.033374932,0.018893807,0.01226575
2024,TE,0.191815892,0.149973161,0.125795455,0.09699786
2025,WR,0.307713662,0.250494658,0.225259111,0.185511394
2025,Backfield,0.069438948,0.033374932,0.018893807,0.01226575
2025,TE,0.191815892,0.149973161,0.125795455,0.09699786
